	lemma	gold	hypo	target tag	gloss	error type	description
12	чабрец	чабрецов	чабрцев	N;GEN;PL	thyme 	copy	error in copying stem by omitting a letter 
2	погремушка	погремушек	погремушок	N;GEN;PL	rattle 	spelling	error which can be repaired by applying a spelling rule 
4	коврижка	коврижек	коврижок	N;GEN;PL	gingerbread	spelling	error which can be repaired by applying a spelling rule 
10	загрузка	загрузк	загрузок	N;GEN;PL	loading	data	error in Wiktionary data 
15	синдром Аспергера	синдромов Аспергера	синдромов Аспергер	N;GEN;PL	Asperger's syndrome	lemma internal structure	error in declension of a noun in a compound word
9	растеря	растери	растеря	N;GEN;SG	 who loses things 	affix	error in affix application (suffix/ending)
11	эмаль	эмали	эмаля	N;GEN;SG	enamel 	affix	error in affix application (suffix/ending)
0	млекопитающее	млекопитающим	млекопитающем	N;INS;SG	mammal 	affix	error in affix application (suffix/ending)
31	албанский	албанского	албанский	N;NOM;SG	Albanian (has to be an adjective, not noun)	affix	error in affix application (suffix/ending)
46	пожечь	пожёгший	пожекший	V.PTCP;ACT;PST	burn 	stem	error in stem modification
41	сердить	серженный	сердённый	V.PTCP;PASS;PST	angry 	stem	error in stem modification
1	отклонить	отклонённый	отклонленный	V.PTCP;PASS;PST	reject	stem	error in stem modification
62	затрудняться	будем затрудняться	затрудняемся	V;FUT;1;PL	 to have difficulty 	affix	error in affix application (future tense)
23	ладить	буду ладить	лажу	V;FUT;1;SG	 to get on (with) 	affix	error in affix application (future tense)
48	исследоваться	буду исследоваться	исследуюсь	V;FUT;1;SG	to be researched 	affix	error in affix application (future tense)
56	подвыпить	подвыпью	подвыплю	V;FUT;1;SG	to have a couple 	affix	error in affix application (future tense)
33	пронизать	пронижете	будете пронизать	V;FUT;2;PL	 to pierce	affix	error in affix application (future tense)
30	заколоть	будешь заколоть	заколешь	V;FUT;2;SG	 to attach with a pin 	affix	error in affix application (future tense)
5	взвиться	взовьются	взвятся	V;FUT;3;PL	fly up 	stem	error in stem modification
17	растить	будут растить	растят	V;FUT;3;PL	to grow 	affix	error in affix application (future tense)
7	пропитаться	будет пропитаться	пропитается	V;FUT;3;SG	 to be saturated 	affix	error in affix application (future tense)
22	свершаться	будет свершаться	свершится	V;FUT;3;SG	 to happen 	affix	error in affix application (future tense)
21	ассоциироваться	будет ассоциироваться	ассоциируется	V;FUT;3;SG	 to be associated 	affix	error in affix application (future tense)
43	изжить	изживет	изжит	V;FUT;3;SG	  to overcome	affix	error in affix application (future tense)
20	светать	будет светать	светает	V;FUT;3;SG	 to dawn 	affix	error in affix application (future tense)
54	рыбачить	будет рыбачить	рыбачит	V;FUT;3;SG	 to fish 	affix	error in affix application (future tense)
37	прозвать	прозовет	прозвает	V;FUT;3;SG	 to name	affix	error in affix application (future tense)
58	халтурить	халтурьте	халтурите	V;IMP;2;PL	to do smth poorly 	affix	error in affix application (suffix)
49	сосредоточиться	сосредоточьтесь	сосредоточитесь	V;IMP;2;PL	  to focus	affix	error in affix application (suffix)
67	обшарить	обшарьте	обшарите	V;IMP;2;PL	 to ransack 	affix	error in affix application (suffix)
53	копить	копи	копь	V;IMP;2;SG	   to save up 	affix	error in affix application (suffix)
69	подпереть	подопри	подперей	V;IMP;2;SG	back up 	stem	error in stem modification
24	подбежать	подбеги	подбежи	V;IMP;2;SG	run up 	stem	error in stem modification
47	измяться	изомнись	измяйся	V;IMP;2;SG	wrinkle 	stem	error in stem modification
55	скорбеть	скорбим	скорбеем	V;PRS;1;PL	to grieve 	affix	error in affix application (suffix)
29	стелить	стелем	стелим	V;PRS;1;PL	 to spread 	affix	error in affix application (suffix)
32	гнить	гниём	гним	V;PRS;1;PL	 to rot 	affix	error in affix application (suffix/ending)
14	плестись	плетутся	плесутся	V;PRS;3;PL	trail (imperf.) 	stem	error in stem modification
3	гнить	гниёт	гнит	V;PRS;3;SG	 to rot 	affix	error in affix application (suffix/ending)
60	поплестись	поплёлся	поплесся	V;PST;SG;MASC	trail (perf.) 	stem	error in stem modification
