	lemma	gold	hypo	target tag
55	încredere	încrederii	încrederilor	N;GEN/DAT;PL;DEF
61	libertate	libertăților	libertății	N;GEN/DAT;PL;DEF
63	doamnă	doamnelor	domele	N;GEN/DAT;PL;DEF
68	văduvă	văduvelor	văduvilor	N;GEN/DAT;PL;DEF
73	onoare	onorurilor	onorilor	N;GEN/DAT;PL;DEF
85	buric	buricelor	buricilor	N;GEN/DAT;PL;DEF
99	deșteptăciune	deșteptăciunii	deșteptăciunilor	N;GEN/DAT;PL;DEF
8	îmbrăcăminte	unei îmbrăcăminți	unei îmbrăcăminte	N;GEN/DAT;SG;INDF
17	tamburină	unei tamburine	unei tamburini	N;GEN/DAT;SG;INDF
33	castravete	unui castravete	unei castraveți	N;GEN/DAT;SG;INDF
40	alivancă	unei alivenci	unei alivance	N;GEN/DAT;SG;INDF
52	gutuie	unei gutui	unei gutuii	N;GEN/DAT;SG;INDF
59	zgardă	unei zgărzi	unei zgarde	N;GEN/DAT;SG;INDF
0	pugilat	pugilatele	pugilaturile	N;NOM/ACC;PL;DEF
6	portar	portarii	portarele	N;NOM/ACC;PL;DEF
25	bulangiu	bulangiii	bulangiile	N;NOM/ACC;PL;DEF
44	menestrel	menestrelii	menestrelele	N;NOM/ACC;PL;DEF
49	mililitru	mililitrii	mililitrile	N;NOM/ACC;PL;DEF
50	făget	făgetele	făgeturile	N;NOM/ACC;PL;DEF
98	zară	zara	zările	N;NOM/ACC;PL;DEF
105	trifoi	trifoiurile	trifoii	N;NOM/ACC;PL;DEF
7	monotrem	niște monotreme	niște monotremi	N;NOM/ACC;SG;INDF
13	hidrat	niște hidrați	niște hidrate	N;NOM/ACC;SG;INDF
19	elicopter	niște elicoptere	niște elicopteri	N;NOM/ACC;SG;INDF
34	caimac	niște caimacuri	niște caimaci	N;NOM/ACC;SG;INDF
35	multipolaritate	multipolaritate	niște multipolarități	N;NOM/ACC;SG;INDF
37	sarma	niște sarmale	niște sarma	N;NOM/ACC;SG;INDF
60	pai	niște paie	niște paiuri	N;NOM/ACC;SG;INDF
66	koala	niște koala	niște coala	N;NOM/ACC;SG;INDF
70	psihologie	psihologie	niște psihologii	N;NOM/ACC;SG;INDF
79	popularitate	popularitate	niște popularități	N;NOM/ACC;SG;INDF
15	izvor	izvoarelor	izvorilor	N;VOC;PL
30	pitic	piticilor	piticurilor	N;VOC;PL
74	vale	văilor	vălilor	N;VOC;PL
75	metru	metrilor	metrelor	N;VOC;PL
77	buc	bucilor	bucurilor	N;VOC;PL
92	peșteră	peșterilor	peșterelor	N;VOC;PL
18	câșlegi	câșlegilor	câșlegiule	N;VOC;SG
43	face sex	făcând sex	faceți sex	V.CVB;PRS
84	ucide	ucigând	ucidând	V.CVB;PRS
12	prăda	prad	prădez	V;IND;PRS;1;SG
101	ști	știu	ștesc	V;IND;PRS;1;SG
11	lua în seamă	iei în seamă	luași în seamă	V;IND;PRS;2;SG
81	depărta	depărtezi	deperti	V;IND;PRS;2;SG
24	coase	cos	coas	V;IND;PRS;3;PL
91	urma	urmează	urmă	V;IND;PRS;3;PL
95	vătăma	vatămă	vătamă	V;IND;PRS;3;PL
41	întâmpla	întâmplă	întâmplează	V;IND;PRS;3;SG
58	îngusta	îngustează	îngustă	V;IND;PRS;3;SG
94	юби	юбям	юб	V;IND;PST;1;SG;IPFV
64	da jos	dădui jos	dădusezi	V;IND;PST;1;SG;PFV
96	da jos	dădeați jos	dădeau jos	V;IND;PST;2;PL;IPFV
97	ajunge la majorat	ajunsși la majorat	ajungeam la majorat	V;IND;PST;2;SG;PFV
4	împrospăta	prospătară	împrospătară	V;IND;PST;3;PL;PFV
80	cădea	cazi	cade	V;POS;IMP;2;SG
90	pieptăna	piaptănă	pieptănează	V;POS;IMP;2;SG
26	păduchea	despăducheați	păducheați	V;POS;IMP;3;PL
65	avea dreptate	aveți dreptate	avea dreptateți	V;POS;IMP;3;PL
54	lansa	să lans	să lansez	V;SBJV;PRS;1;SG
56	sătura	să satur	să saturez	V;SBJV;PRS;1;SG
72	rezema	să reazem	să rezem	V;SBJV;PRS;1;SG
93	împăca	să împac	să împăc	V;SBJV;PRS;1;SG
104	lua în seamă	să luați în seamă	să luăm în seamă	V;SBJV;PRS;2;PL
3	cugeta	să cugeti	să cugeți	V;SBJV;PRS;2;SG
20	căpăta	să capeți	să capeti	V;SBJV;PRS;2;SG
22	cumpăra	să cumpări	să cumperi	V;SBJV;PRS;2;SG
67	civiliza	să civiizezi	să civilizezi	V;SBJV;PRS;2;SG
28	ajunge la majorat	să ajungă la majorat	să ajungeam lajorat	V;SBJV;PRS;3;PL
62	dezrădăcina	să dezrădăcineze	să dezrădăcine	V;SBJV;PRS;3;PL
87	ușura	să ușureze	să ușure	V;SBJV;PRS;3;PL
102	aștepta	să aștepte	să aștepteze	V;SBJV;PRS;3;PL
31	tenta	să tenteze	să tente	V;SBJV;PRS;3;SG
36	descrește	să descrească	să descrescă	V;SBJV;PRS;3;SG
69	excela	să exceleze	să excele	V;SBJV;PRS;3;SG
89	răscula	să răscoale	să răscule	V;SBJV;PRS;3;SG
