	lemma	gold	hypo	target tag
37	sarma	niște sarmale	descurcăreță	N;NOM/ACC;SG;INDF
13	hidrat	niște hidrați	niște hidrate	N;NOM/ACC;SG;INDF
35	multipolaritate	multipolaritate	să descrescă	N;NOM/ACC;SG;INDF
69	koala	niște koala	văduvilor	N;NOM/ACC;SG;INDF
82	popularitate	popularitate	deperti	N;NOM/ACC;SG;INDF
19	elicopter	niște elicoptere	să capeti	N;NOM/ACC;SG;INDF
73	psihologie	psihologie	să rezem	N;NOM/ACC;SG;INDF
63	pai	niște paie	să dezrădăcine	N;NOM/ACC;SG;INDF
34	caimac	niște caimacuri	niște multipolarități	N;NOM/ACC;SG;INDF
15	izvor	izvoarelor	ivorienul	N;VOC;PL
80	buc	bucilor	niște popularități	N;VOC;PL
78	metru	metrilor	bucurilor	N;VOC;PL
95	peșteră	peșterilor	юб	N;VOC;PL
77	vale	văilor	neașteptați	N;VOC;PL
40	izvor	izvoarelor	dezgustători	N;VOC;PL
30	pitic	piticilor	să tente	N;VOC;PL
18	câșlegi	câșlegilor	niște elicopteri	N;VOC;SG
46	face sex	făcând sex	străin	V.CVB;PRS
87	ucide	ucigând	teoretici	V.CVB;PRS
104	ști	știu	grăsuna	V;IND;PRS;1;SG
12	prăda	prad	prădez	V;IND;PRS;1;SG
11	lua în seamă	iei în seamă	luași în seamă	V;IND;PRS;2;SG
84	depărta	depărtezi	sânți	V;IND;PRS;2;SG
98	vătăma	vatămă	ajungeam la majorat	V;IND;PRS;3;PL
24	coase	cos	bulangiile	V;IND;PRS;3;PL
94	urma	urmează	să împăc	V;IND;PRS;3;PL
44	întâmpla	întâmplă	faceți sex	V;IND;PRS;3;SG
61	îngusta	îngustează	niște paiuri	V;IND;PRS;3;SG
97	юби	юбям	dădeau jos	V;IND;PST;1;SG;IPFV
67	da jos	dădui jos	niște coala	V;IND;PST;1;SG;PFV
99	da jos	dădeați jos	zările	V;IND;PST;2;PL;IPFV
100	ajunge la majorat	ajunsși la majorat	deșteptăciunilor	V;IND;PST;2;SG;PFV
4	împrospăta	prospătară	împrospătară	V;IND;PST;3;PL;PFV
83	cădea	cazi	albului	V;POS;IMP;2;SG
93	pieptăna	piaptănă	peșterelor	V;POS;IMP;2;SG
41	aiura	aiurează	unei alivance	V;POS;IMP;2;SG
68	avea dreptate	aveți dreptate	să civilizezi	V;POS;IMP;3;PL
26	păduchea	despăducheați	roibe	V;POS;IMP;3;PL
59	sătura	să satur	îngustă	V;SBJV;PRS;1;SG
75	rezema	să reazem	vălilor	V;SBJV;PRS;1;SG
57	lansa	să lans	să saturez	V;SBJV;PRS;1;SG
96	împăca	să împac	vătamă	V;SBJV;PRS;1;SG
3	cugeta	să cugeti	să cugeți	V;SBJV;PRS;2;SG
20	căpăta	să capeți	nevăzuții	V;SBJV;PRS;2;SG
22	cumpăra	să cumpări	maroa	V;SBJV;PRS;2;SG
70	civiliza	să civiizezi	să excele	V;SBJV;PRS;2;SG
28	ajunge la majorat	să ajungă la majorat	tutunilor	V;SBJV;PRS;3;PL
90	ușura	să ușureze	să răscule	V;SBJV;PRS;3;PL
65	dezrădăcina	să dezrădăcineze	dădusezi	V;SBJV;PRS;3;PL
105	aștepta	să aștepte	să luăm în seamă	V;SBJV;PRS;3;PL
92	răscula	să răscoale	urmă	V;SBJV;PRS;3;SG
36	descrește	să descrească	niște sarma	V;SBJV;PRS;3;SG
31	tenta	să tenteze	aducătorul	V;SBJV;PRS;3;SG
72	excela	să exceleze	ipocriții	V;SBJV;PRS;3;SG
