lemma	gold	hypo	target tag
nidaah	jinódaah	jinóodaah	V;OPT;4;SG/DU/PL
naaghá	niséyá	nishásh	V;REAL;PFV/PRF;1;SG
iizą́	daʼayiidzą́	daʼiidzą́	V;REAL;IPFV/PROG;1;PL
yooznah	yisínínah	yidínah	V;REAL;IPFV/PROG;2;SG
yikʼíididis	bikʼídazhdídoodis	bikʼídazhdidoodis	V;REAL;PROSP;4;PL
nidaah	jineezdá	jínídá	V;REAL;PFV/PRF;4;SG/DU/PL
nayiiłniih	ndahidoołnih	ndadiiłnih	V;REAL;PROSP;2;PL
yooznah	náyooʼnah	náyáníʼnah	V;REAL;ITER;2;SG
nidaah	niikeeh	niikah	V;REAL;IPFV/PROG;1;DU/PL
nitʼááh	jinootʼááʼ	jítʼááʼ	V;REAL;PFV/PRF;4;SG/DU/PL
yisdéíłʼeeł	yisdéiilʼeeł	yisdį́iilʼeeł	V;REAL;IPFV/PROG;1;DU/PL
yooznah	yidiyíínah	yidiyínah	V;REAL;PFV/PRF;2;SG
kʼédǫǫh	kʼídasoodǫǫd	kʼídasoohdǫǫd	V;REAL;PFV/PRF;2;PL
halneʼ	hwíínílneʼ	hwóóneʼ	V;REAL;PFV/PRF;2;SG
hashkeeh	hashíkeeh	hashíníkeeh	V;REAL;PFV/PRF;2;SG
diidiłjeeh	didíłjeeh	didiłjeeh	V;REAL;IPFV/PROG;2;SG
átʼį́	adéiitʼį́	ádeiitʼį́	V;REAL;IPFV/PROG;1;PL
yiłnááh	deidoołnááł	deiłná	V;REAL;IPFV/PROG;3;PL
óolyé	íisisyeʼ	íisyyeʼ	V;REAL;PFV/PRF;1;SG
yoodlą́	yinídlą́	yínídlą́	V;REAL;PFV/PRF;2;SG
yilééh	dadiilnííł	dadiilííł	V;REAL;PROSP;1;PL
halneʼ	daodiilnih	dahodiilnih	V;REAL;PROSP;1;PL
naaghá	naazhʼáázh	niaʼáázh	V;REAL;PFV/PRF;3;PL
yénálniih	béníilniih	bénéiilniih	V;REAL;IPFV/PROG;1;DU/PL
chʼínéísííd	chʼéézhnísid	chʼééjísid	V;REAL;PFV/PRF;4;SG/DU/PL
yishood	dajishóód	dajííshóód	V;REAL;PFV/PRF;4;PL
yilééh	deilééh	daalééh	V;REAL;IPFV/PROG;3;PL
yółtaʼ	néínółtah	náhółtah	V;REAL;ITER;2;DU/PL
adiłhash	dazhʼdiłhash	daʼjidołhash	V;REAL;PFV/PRF;4;PL
yibadooghááh	bibadoohkááh	bibadóohkaʼ	V;OPT;2;PL
nidaah	nédá	níshdaaʼ	V;REAL;PFV/PRF;1;SG
nidaah	nikeeh	dinidaah	V;REAL;IPFV/PROG;3;PL
hashkeeh	hashohkeeh	hoshohkeeh	V;REAL;PFV/PRF;2;DU/PL
niné	sinooná	nooná	V;REAL;PFV/PRF;2;DU/PL
iildzííł	eeldzil	ieldzil	V;REAL;PFV/PRF;3;SG/DU/PL
yighááh	díínááł	dííthááł	V;REAL;PROSP;2;SG
náyiilááh	náháshłááh	náhálááh	V;REAL;IPFV/PROG;1;SG
yółtaʼ	néíníiltah	néíiltah	V;REAL;ITER;1;DU/PL
iinééh	ííníná	ííná	V;REAL;PFV/PRF;2;SG
yiłąąh	yishłąąh	yishąąh	V;REAL;IPFV/PROG;1;SG
nilʼąąh	jinéesʼąąd	jílzhʼąąʼ	V;REAL;PFV/PRF;4;SG/DU/PL
iiniłchééh	azhnííłchą́ą́ʼ	azhneeshchą́ą́ʼ	V;REAL;PFV/PRF;4;SG/DU/PL
ééʼ	beʼééʼ	yeʼééʼ	N;PSS4;ARGAC3S
diiłheeł	diniłheel	diíníłheel	V;REAL;PFV/PRF;2;SG
yą́ą́ʼdíłgééd	bą́ą́ʼdííníłgeed	bą́ą́dííʼníshgon	V;REAL;PFV/PRF;2;SG
naaghá	naoohkááh	nooohkaʼ	V;OPT;2;PL
nidaah	sinooké	jisdaan	V;REAL;PFV/PRF;2;DU/PL
ádin	áníshdin	ánísdin	V;REAL;PFV/PRF;1;SG
yiʼaash	dooʼash	yidooʼash	V;REAL;PROSP;3;SG/DU/PL
yooznah	náyooshʼnah	náyooshnah	V;REAL;ITER;1;SG
yighááh	woohkai	wooʼáázh	V;REAL;PFV/PRF;2;PL
yibadooghááh	bibańdíshdááh	bibańdáshááh	V;REAL;ITER;1;SG
naaghá	ninéiitʼash	niniitʼash	V;REAL;ITER;1;DU/PL
