	lemma	gold	hypo	target tag
3	néíłtsááh	ńdaołtsááh	ńdasoołtsááh	V;REAL;PFV/PRF;2;PL
74	yighááh	woohkai	wooʼáázh	V;REAL;PFV/PRF;2;PL
62	iinééh	ííníná	ííná	V;REAL;PFV/PRF;2;SG
68	yą́ą́ʼdíłgééd	bą́ą́ʼdííníłgeed	bą́ą́dííʼníshgon	V;REAL;PFV/PRF;2;SG
67	diiłheeł	diniłheel	diíníłheel	V;REAL;PFV/PRF;2;SG
38	hashkeeh	hashíkeeh	hashíníkeeh	V;REAL;PFV/PRF;2;SG
43	yoodlą́	yinídlą́	yínídlą́	V;REAL;PFV/PRF;2;SG
37	halneʼ	hwíínílneʼ	hwóóneʼ	V;REAL;PFV/PRF;2;SG
35	yooznah	yidiyíínah	yidiyínah	V;REAL;PFV/PRF;2;SG
46	naaghá	naazhʼáázh	niaʼáázh	V;REAL;PFV/PRF;3;PL
6	yoodlą́	dayoodlą́	daoodlą́	V;REAL;PFV/PRF;3;PL
58	iildzííł	eeldzil	ieldzil	V;REAL;PFV/PRF;3;SG/DU/PL
12	yibááh	yíbaaʼ	yiyííbaaʼ	V;REAL;PFV/PRF;3;SG/DU/PL
16	iisááł	íísaal	iisaal	V;REAL;PFV/PRF;3;SG/DU/PL
17	kʼiidilé	kʼiidíílá	kʼidiizlá	V;REAL;PFV/PRF;3;SG/DU/PL
0	yiłní	dabijiní	dajiłní	V;REAL;PFV/PRF;4;PL
52	adiłhash	dazhʼdiłhash	daʼjidołhash	V;REAL;PFV/PRF;4;PL
1	yigháʼdíłdlaad	bighádazhʼdeesdláád	bighádazhdiʼníłdláád	V;REAL;PFV/PRF;4;PL
22	chʼínádzííd	chʼéédajidzid	chʼéédajizdzid	V;REAL;PFV/PRF;4;PL
49	yishood	dajishóód	dajííshóód	V;REAL;PFV/PRF;4;PL
65	iiniłchééh	azhnííłchą́ą́ʼ	azhneeshchą́ą́ʼ	V;REAL;PFV/PRF;4;SG/DU/PL
48	chʼínéísííd	chʼéézhnísid	chʼééjísid	V;REAL;PFV/PRF;4;SG/DU/PL
29	nidaah	jineezdá	jínídá	V;REAL;PFV/PRF;4;SG/DU/PL
33	nitʼááh	jinootʼááʼ	jítʼááʼ	V;REAL;PFV/PRF;4;SG/DU/PL
64	nilʼąąh	jinéesʼąąd	jílzhʼąąʼ	V;REAL;PFV/PRF;4;SG/DU/PL
44	yilééh	dadiilnííł	dadiilííł	V;REAL;PROSP;1;PL
45	halneʼ	daodiilnih	dahodiilnih	V;REAL;PROSP;1;PL
7	átʼé	ánóhtʼée doo	átʼée doo	V;REAL;PROSP;2;DU/PL
30	nayiiłniih	ndahidoołnih	ndadiiłnih	V;REAL;PROSP;2;PL
59	yighááh	díínááł	dííthááł	V;REAL;PROSP;2;SG
2	yénálniih	yéédadoolnih	yéédaadlnih	V;REAL;PROSP;3;PL
72	yiʼaash	dooʼash	yidooʼash	V;REAL;PROSP;3;SG/DU/PL
28	yikʼíididis	bikʼídazhdídoodis	bikʼídazhdidoodis	V;REAL;PROSP;4;PL
